"Arrowhead elephant ear", "Xanthosoma sagittifolium"
"Asiatic pennywort", "Centella asiatica"
"Arugula", "Eruca sativa"
"Atibulnak", "Rubus pectinellus"
"Beet (greens)", "Beta vulgaris vulgaris"
"Binung", "Christella dentata"
"Bok choy (白菜)", "Brassica rapa (chinensis)"
"Borage greens", "Borago officinalis"
"Broccoli (leaves / stalks)", "Brassica oleracea"
"Brooklime", "Veronica beccabunga"
"Brussels sprouts", "Brassica oleracea (gemmifera)"
"Cabbage", "Brassica oleracea (capitata)"
"Caraway leaves", "Carum carvi"
"Catsear", "Hypochaeris radicata"
"Celery", "Apium graveolens"
"Celtuce", "Lactuca sativa (asparagina)"
"Chaya", "Cnidoscolus aconitifolius aconitifolius"
"Chili pepper leaves", "Capsicum spp."
"Chickweed", "Stellaria"
"Chicory", "Cichorium intybus"
"Chinese mallow", "Malva verticillata"
"Collard greens", "Brassica oleracea"
"Common purslane", "Portulaca oleracea"
"Corn salad", "Valerianella locusta"
"Cress", "Lepidium sativum"
"Cucumis prophetarum", "Cucumis prophetarum"
"Garland Chrysanthemum", "Chrysanthemum coronarium"
"Ground elder", "Aegopodium podagraria"
"Dandelion", "Taraxacum officinale"
"Dill", "Anethum graveolens"
"Endive", "Cichorium endivia"
"Fat hen", "Chenopodium album"
"Fiddlehead", "Pteridium aquilinumAthyrium esculentum"
"Fluted pumpkin", "Telfairia occidentalis"
"Gnetum / Melinjo", "Gnetum gnemon"
"Golden samphire", "Inula crithmoides"
"Good King Henry", "Chenopodium bonus-henricus"
"Grape (leaves)", "Vitis"
"Greater plantain", "Plantago major"
"Jute mallow / Melokhia", "Corchorus olitoriusCorchorus capsularis"
"Kai-lan (芥蘭 Gai lan)", "Brassica rapa (alboglabra)"
"Kale", "Brassica oleracea (acephala)"
"Kalette", "Brassica oleracea"
"Kerguelen cabbage", "Pringlea antiscorbutica"
"Komatsuna", "Brassica rapa (pervidis / komatsuna)"
"Kuka", "Adansonia"
"Lagos bologi", "Talinum fruticosum"
"Lamb's lettuce", "Valerianella locusta"
"Lamb's quarters", "Chenopodium album"
"Land cress", "Barbarea verna"
"Leaf celery", "Apium graveolens var. secalinum"
"Lettuce", "Lactuca sativa"
"Lizard's tail", "Houttuynia cordata"
"Malabar spinach", "Basella alba"
"Mallow", "Malvaceae"
"Moringa leaves", "Moringa oleifera"
"Miner's lettuce (Winter purslane)", "Claytonia perfoliata"
"Mizuna greens", "Brassica rapa (nipposinica)"
"Mustard", "Sinapis alba"
"Napa cabbage", "Brassica rapa (chinensis)"
"New Zealand Spinach", "Tetragonia tetragonioides"
"Orache", "Atriplex hortensis"
"Pak choy (白菜 Bok choy)", "Brassica rapa (chinensis)"
"Papaya leaves", "Carica papaya"
"Paracress", "Acmella oleracea"
"Pea (sprouts / leaves)", "Pisum sativum"
"Pitogo", "Cycas riuminiana"
"Poke", "Phytolacca americana"
"Purple bauhinia / Butterfly tree", "Bauhinia purpurea"
"Radicchio", "Cichorium intybus"
"Rapini (broccoli rabe)", "Brassica rapa rapa"
"Red spinach", "Amaranthus dubius"
"Samphire", "Crithmum maritimum"
"Royal fern", "Osmunda regalis"
"Sculpit / Stridolo", "Silene inflata"
"Sea beet", "Beta vulgaris maritima"
"Sea kale", "Crambe maritima"
"Shepherd's purse", "Capsella bursa-pastoris"
"Sierra Leone bologi", "Crassocephalum"
"Soko", "Celosia argentea"
"Sorrel", "Rumex acetosa"
"Sour cabbage", "Brassica oleracea"
"Spinach", "Spinacia oleracea"
"Spiny amaranth", "Amaranthus spinosus"
"Summer purslane", "Portulaca oleracea"
"Sunset muskmallow", "Abelmoschus manihot"
"Sweet potato leaves", "Ipomoea batatas"
"Swiss chard", "Beta vulgaris cicla (flavescens)"
"Tahitian spinach", "Xanthosoma brasiliense"
"Taro leaves", "Colocasia esculenta"
"Tatsoi", "Brassica rapa (rosularis)"
"Turnip greens", "Brassica rapa (rapifera)"
"Vegetable fern", "Diplazium esculentum"
"Vegetable hummingbird", "Sesbania grandiflora"
"Viagra palm", "Calamus erectus"
"Watercress", "Nasturtium officinale"
"Water spinach", "Ipomoea aquatica"
"Wheatgrass", "Triticum aestivum"
"Yarrow", "Achillea millefolium"
"Yao choy (油菜 Yu choy)", "Brassica napus"
"Antipolo", "Artocarpus blancoi"
"Armenian cucumber", "Cucumis melo var. flexuosus"
"Breadfruit", "Artocarpus altilis"
"Breadnut / Seeded breadfruit", "Artocarpus camansi"
"Bitter melon / Bitter gourd", "Momordica charantia"
"Caigua / Achocha", "Cyclanthera pedata"
"Calabash / Bottle gourd", "Lagenaria siceraria"
"Chayote", "Sechium edule"
"Cooking banana / Plantain / Green banana", "Musa × paradisiaca"
"Durian (unripe)", "Durio spp."
"Gac", "Momordica cochinchinensis"
"Galo", "Anacolosa frutescens"
